POSITION,GROUP,LEVEL,FIELD,TIME,CONTRACTOR,CONTRACTOR TYPE,OWNER,LABOR TYPE,UNION NUMBER,WAGE TYPE,BUILDING TYPE,CITY,STATE,DATE,TYPE,BILL RATE,BASE,FICA,FUTA,SUTA,WORK COMP,LIABILITY INS,TAX/INS,FRINGE BENEFITS,PER DIEM,SMALL TOOLS,OT,G&A (OH),PROFIT
ACCOUNTANT,,,,REG,GORDON PRILL-INC,,LAM RESEARCH PROJECT,GC PM,,BURDENED,LAB/RESEARCH,SUNNYVALE,CA,2019-03-15,SUPERVISION,,85.0,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,CLAYCO,GC/CM,LG ENERGY SOLUTION,GC PM,,BURDENED,MANUFACTURING,QUEEN CREEK,AZ,2024-01-01,SUPERVISION,,116.877948,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,CLAYCO,GC/CM,LG ENERGY SOLUTION,GC PM,,BURDENED,MANUFACTURING,QUEEN CREEK,AZ,2025-01-01,SUPERVISION,,122.254333608,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,CLAYCO,GC/CM,LG ENERGY SOLUTION,GC PM,,BURDENED,MANUFACTURING,QUEEN CREEK,AZ,2023-06-27,SUPERVISION,,111.74,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CLAYCO,GC/CM,LG ENERGY SOLUTION,GC PM,,BURDENED,MANUFACTURING,QUEEN CREEK,AZ,2024-01-01,SUPERVISION,,63.938841999999994,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CLAYCO,GC/CM,LG ENERGY SOLUTION,GC PM,,BURDENED,MANUFACTURING,QUEEN CREEK,AZ,2023-06-27,SUPERVISION,,61.13,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CLAYCO,GC/CM,LG ENERGY SOLUTION,GC PM,,BURDENED,MANUFACTURING,QUEEN CREEK,AZ,2025-01-01,SUPERVISION,,66.880028732,,,,,,,,,,,,
ACCOUNTANT,,,,REG,LECHASE CONSTRUCTION,,MERCK,,,BURDENED,MANUFACTURING-PHARMA,SYRACUSE,NY,2016-01-01,SUPERVISION,,52.5,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,PCI,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2021-01-01,SUPERVISION,,81.0,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,PCI,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2021-01-01,SUPERVISION,,81.0,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,PCI,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2023-01-01,SUPERVISION,,88.94014683246868,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,PCI,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2021-01-01,SUPERVISION,,142.0,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,,REG,DKL,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2023-01-01,SUPERVISION,,117.56353933301783,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,,REG,DKL,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2021-01-01,SUPERVISION,,105.77,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,,REG,MCA,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2021-01-01,SUPERVISION,,182.39,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,,REG,MCA,GC/CM,META,GC PM,,BURDENED,DATA CENTER,,,2023-01-01,SUPERVISION,,196.23884177135395,,,,,,,,,,,,
ACCOUNTANT,,SENIOR MANAGER,,REG,ROSENDIN ELECTRIC-INC.,SUB,META,GC PM,,BURDENED,,,,2022-01-01,SUPERVISION,,105.0,,,,,,,,,,,,
